No,Prodi,Angkatan,Kepuasan,IPK,Sikap
455,D,2017,90,3.60,Setuju
456,D,2017,90,3.60,Setuju
457,D,2017,85,3.20,Setuju
458,D,2017,98,3.92,Setuju
459,D,2017,90,3.60,Setuju
460,D,2017,90,4.00,Setuju
461,D,2017,90,3.60,Setuju
462,D,2017,100,3.96,Setuju
463,D,2017,85,3.20,Setuju
464,D,2017,80,3.20,Setuju
465,D,2017,99,3.92,Setuju
466,D,2017,90,3.40,Setuju
467,D,2017,90,3.80,Setuju
468,D,2017,85,3.20,Setuju
469,D,2017,71,3.40,Setuju
470,D,2017,73,3.40,abstain
471,D,2017,70,3.40,abstain
472,D,2017,90,3.80,abstain
473,D,2017,70,3.20,Setuju
474,D,2017,90,3.96,abstain
475,E,2016,70,2.80,Setuju
476,E,2016,90,3.60,abstain
477,E,2016,50,2.00,Setuju
478,E,2016,90,2.80,Tidak Setuju
479,E,2016,90,2.80,Setuju
480,E,2016,50,2.00,Setuju
481,E,2016,70,2.80,Tidak Setuju
482,E,2016,93,3.72,abstain
483,E,2016,95,3.80,Setuju
484,E,2016,95,3.56,Setuju
485,E,2016,80,4.00,Setuju
486,E,2016,95,3.80,Setuju
487,E,2016,80,3.40,Setuju
488,E,2016,85,3.40,Setuju
489,E,2016,70,2.00,Setuju
490,E,2016,100,4.00,abstain
491,E,2016,85,3.20,Setuju
492,E,2016,80,1.60,Setuju
493,E,2016,85,3.20,Setuju
494,E,2016,85,2.80,Setuju
495,E,2016,50,2.00,Setuju
496,E,2016,95,3.80,Tidak Setuju
497,E,2016,80,4.00,Setuju
498,E,2016,70,2.40,Setuju
499,E,2016,70,3.20,Tidak Setuju
500,E,2016,90,3.60,abstain
501,E,2016,90,2.00,abstain
502,E,2016,85,2.80,Setuju
503,E,2016,60,2.00,Setuju
504,E,2016,50,2.00,Setuju
505,E,2016,80,2.80,Tidak Setuju
506,E,2016,40,1.60,Tidak Setuju
507,E,2016,80,2.80,Setuju
508,E,2016,80,3.20,Tidak Setuju
509,E,2016,50,2.00,Setuju
510,E,2016,70,2.80,Setuju
511,E,2017,83,1.80,Tidak Setuju
512,E,2017,85,2.00,abstain
513,E,2017,80,2.00,Setuju
514,E,2017,20,0.20,Setuju
515,E,2017,75,3.00,Setuju
516,E,2017,70,2.80,Tidak Setuju
517,E,2017,60,2.60,abstain
518,E,2017,80,2.80,abstain
519,E,2017,80,2.60,Tidak Setuju
520,E,2017,95,3.80,Setuju
521,E,2017,100,3.20,Setuju
522,E,2017,80,3.20,Setuju
523,E,2017,90,3.20,Setuju
524,E,2017,90,3.40,Setuju
525,E,2017,90,3.40,Setuju
526,E,2017,80,3.20,Setuju
527,E,2017,70,2.60,Setuju
528,E,2017,70,2.80,Setuju
529,E,2017,90,3.60,abstain
530,E,2017,85,3.20,abstain
531,E,2017,90,3.96,Setuju
532,E,2017,80,2.40,Setuju
533,E,2017,80,2.40,Setuju
534,E,2017,80,3.00,Setuju
535,E,2017,80,3.40,Setuju
536,E,2017,80,3.60,Setuju
537,E,2017,90,3.40,Setuju
538,E,2017,70,2.80,Setuju
539,E,2017,70,2.00,Setuju
540,E,2017,70,2.00,abstain
541,E,2017,70,2.00,abstain
542,E,2017,80,3.20,abstain
543,E,2017,80,3.20,abstain
544,E,2017,85,3.00,Setuju
545,E,2017,70,2.00,Setuju
546,E,2017,75,2.40,Setuju
547,E,2017,80,3.20,abstain
548,E,2017,70,2.00,abstain
